placeName,candidate,rule
Venetiae et Histriae,Histriae,generated
Venetiae et Histriae,Venetia,generated
Venetiae et Histriae,Venetiae,generated
Venetiae et Histriae,Venetiae et Histriae,original
Venetiae inferioris,Venetia,generated
Venetiae inferioris,Venetiae,generated
Venetiae inferioris,Venetiae inferioris,original
Veranoca,Veranoca,original
Vercellis,Vercellis,original
Veriaraca,Veriaraca,original
Verofabula,Verofabula,original
Verteris,Verteris,original
Vetusalinae,Vetusalina,generated
Vetusalinae,Vetusalinae,original
Vico Iulio,Vico,generated
Vico Iulio,Vico Iulio,original
Vico Iulio,Vicum,generated
Viennae siue Arelati,Arelati,generated
Viennae siue Arelati,Arelatus,generated
Viennae siue Arelati,Vienna,generated
Viennae siue Arelati,Viennae,generated
Viennae siue Arelati,Viennae siue Arelati,original
Vimania,Vimania,original
Viminacio,Viminacio,original
Viminacio,Viminacium,generated
Vincentiae,Vincentia,generated
Vincentiae,Vincentiae,original
Vindobala,Vindobala,original
Vindolana,Vindolana,original
Vindomarae,Vindomara,generated
Vindomarae,Vindomarae,original
Virosido,Virosido,original
Virosido,Virosidum,generated
Ysiporto,Ysiporto,original
Ysiporto,Ysiportum,generated
Zernis,Zernis,original
Ziganne,Ziganne,original
Ziza,Ziza,original
Zmirnae,Zmirna,generated
Zmirnae,Zmirnae,original
Zoarae,Zoara,generated
Zoarae,Zoarae,original
Zodocathae,Zodocatha,generated
Zodocathae,Zodocathae,original
