sourceLine,provinceName,rank,score,method,pleiadesId,pleiadesTitle,matchedName,placeTypes,description
49,Sequanicae,4,0.750,SIMILAR,857337,Souania,Souania,region,"An ancient place, cited: BAtlas 87 H2 Souania"
49,Sequanicae,5,0.750,SIMILAR,432649,Aequana,Aequana,settlement,"An ancient place, cited: BAtlas 44 F4 Aequana"
1733,Syriae,1,1.000,NORMALIZED,29492,(As)Syria,Syria,region,"An ancient place, cited: BAtlas 3 C2 (As)Syria"
1733,Syriae,2,1.000,NORMALIZED,531109,Syria,Syria,settlement,"An ancient place, cited: BAtlas 54 C5 Syria"
1733,Syriae,3,1.000,NORMALIZED,531110,Syria,Syria,unknown,"An ancient place, cited: BAtlas 54 C5 Syria (1)"
1733,Syriae,4,1.000,NORMALIZED,981550,Syria,Syria,province,"An ancient place, cited: BAtlas 100 P4 Syria"
1733,Syriae,5,1.000,NORMALIZED,1306,Syria,Syria,unknown,"An ancient place, cited: BAtlas 1 K3 Syria"
1763,Syriae salutaris,1,0.727,SIMILAR,1001912,Phrygia Saloutaria,Phrygia Saloutaria,province,"An ancient place, cited: BAtlas 102 F4 no. 26 (Phrygia Saloutaria)"
1763,Syriae salutaris,2,0.710,SIMILAR,383734,Pagus Salutaris,Pagus Salutaris,unknown,"An ancient place, cited: BAtlas 39 F4 Pagus Salutaris"
108,Tarraconensis,1,1.000,NORMALIZED,981551,Tarraconensis,Tarraconensis,province,The Roman imperial province of Hispania Tarraconensis.
108,Tarraconensis,2,0.762,SIMILAR,11924822,tribus Arnensis,Arnensis ,tribus,"The tribus Arnensis was one of the later rural tribes of Rome, which was established in 387 B.C."
108,Tarraconensis,3,0.750,SIMILAR,148141,Narbonensis,Narbonensis,unknown,"An ancient place, cited: BAtlas 15 C2 Narbonensis"
108,Tarraconensis,4,0.750,SIMILAR,981537,Narbonensis,Narbonensis,province,The Roman imperial province of Gallia Narbonensis.
108,Tarraconensis,5,0.727,SIMILAR,678435,Trachones,Trachones,labeled feature,"An ancient place, cited: BAtlas 69 D4 Trachones"
110,Tingitaniae,1,0.947,SIMILAR,275736,Tingi,Tingitani,settlement | port,"Tingi (modern Tangier) began as a Carthaginian colony of the early 5th century BC. A commercial center, Tingi came under the Roman sphere in the first century BC, initially as a free city but later as the site of a colony (Colonia Julia) under Claudius and the capital of Mauritania Tingitana."
110,Tingitaniae,2,0.778,SIMILAR,256220,*Igaeditania?,Egitania,settlement,"An ancient place, cited: BAtlas 26 C2 *Igaeditania?"
110,Tingitaniae,3,0.750,SIMILAR,530878,Gitana,Titana,settlement,"An ancient place, cited: BAtlas 54 B2 Gitana"
110,Tingitaniae,4,0.750,SIMILAR,897862,Tiona/Titana,Titana,unlocated | river,"An ancient place, cited: BAtlas 91 unlocated Tiona/Titana fl."
110,Tingitaniae,5,0.737,SIMILAR,315215,*Thisitana,Thisitana,settlement,"An ancient place, cited: BAtlas 32 E2 *Thisitana"
50,Tractus Armoricani et Neruicani,,,,,,,,
106,Tripolitanae,1,1.000,NORMALIZED,344522,Tripolitana,Tripolitana,region,"The historical region of coastal Libya and Tunisia around Sabratha, Oea, and Lepcis Magna "
106,Tripolitanae,2,1.000,NORMALIZED,991354,Tripolitana,Tripolitana,province,"An ancient place, cited: BAtlas 101 J5 Tripolitana"
106,Tripolitanae,3,0.857,SIMILAR,531130,Tripolitai,Tripolitai,unknown,"An ancient place, cited: BAtlas 54 C3 Tripolitai"
106,Tripolitanae,4,0.778,SIMILAR,668394,Tripolis,Tripoli,urban | theatre | fort-group | pass | cemetery | bath | church | settlement | temple | road,"The Phoenicians established a commercial outpost at Tripolis (Tripoli) in the ninth century BC. An independent city during the Hellenistic period, Tripolis came under Roman control in 64 BC."
106,Tripolitanae,5,0.737,SIMILAR,857360,Tripolis,Tripolis,settlement,"An ancient place, cited: BAtlas 87 D4 Tripolis"
83,Valentiae,1,1.000,NORMALIZED,266090,Valentia,Valentia,settlement | port,"An ancient place, cited: BAtlas 27 E2 Valentia"
83,Valentiae,2,1.000,NORMALIZED,857032,Apsaros/Apsyrtos,Valentia,settlement,"An ancient place, cited: BAtlas 87 G3 Apsaros/Apsyrtos"
83,Valentiae,3,1.000,NORMALIZED,442845,Valetium/Balesium,Valentia,settlement,"An ancient place, cited: BAtlas 45 H3 Valetium/Balesium"
83,Valentiae,4,0.941,SIMILAR,642550,Oualentia,Oualentia,unlocated,"An ancient place, cited: BAtlas 65 unlocated Oualentia"
83,Valentiae,5,0.941,SIMILAR,471989,Oualentia,Oualentia,settlement | settlement-modern,"An ancient place, cited: BAtlas 48 B3 Oualentia"
47,Valeriae ripensis,1,0.774,SIMILAR,991366,Dacia Ripensis,Dacia Ripensis,province,"An ancient place, cited: BAtlas 101 L3 Dacia Ripensis"
